data/id,data/name,data/price,data/g3d,data/g2d,data/value,data/tdp,data/powerPerf,data/date,data/cat,data/bus,data/memSize,data/coreClk,data/memClk,data/rank,data/samples,data/href,data/output
3267,Radeon HD 7560D + R5 235 Dual,NA,563,397,NA,NA,NA,Jul 2015,Unknown,NA,NA,NA,NA,1192,2,Radeon+HD+7560D+%2B+R5+235+Dual&amp;id=3267,true
90,Radeon HD 7570,$102.49*,630,280,6.15,44,14.32,Aug 2012,Desktop,PCIe 2.1 x16,1024 MB,650 MHz,650 MHz,1108,583,Radeon+HD+7570&amp;id=90,true
307,Radeon HD 7570M,NA,449,204,NA,13,34.52,Jun 2012,Mobile,PCIe 2.1 x16,1024 MB,"450,650 MHz","450,650 MHz",1321,475,Radeon+HD+7570M&amp;id=307,true
3046,Radeon HD 7570M/HD 7670M,NA,699,555,NA,25,27.96,Mar 2015,Mobile,PCIe 2.1 x16,1024 MB,600 MHz,600 MHz,1037,4,Radeon+HD+7570M%2FHD+7670M&amp;id=3046,true
2533,Radeon HD 7580D,NA,351,430,NA,NA,NA,Jun 2013,Unknown,NA,NA,NA,NA,1406,2,Radeon+HD+7580D&amp;id=2533,true
2290,Radeon HD 7600G,NA,323,101,NA,NA,NA,Nov 2012,Unknown,NA,NA,NA,NA,1433,181,Radeon+HD+7600G&amp;id=2290,true
2598,Radeon HD 7600G + 6400M Dual,NA,377,257,NA,NA,NA,Jul 2013,Unknown,NA,NA,NA,NA,1383,1,Radeon+HD+7600G+%2B+6400M+Dual&amp;id=2598,true
2501,Radeon HD 7600G + 7450M Dual,NA,390,221,NA,NA,NA,Apr 2013,Unknown,NA,NA,NA,NA,1371,3,Radeon+HD+7600G+%2B+7450M+Dual&amp;id=2501,true
2508,Radeon HD 7600G + 7500M/7600M Dual,NA,406,210,NA,NA,NA,May 2013,Unknown,NA,NA,NA,NA,1359,3,Radeon+HD+7600G+%2B+7500M%2F7600M+Dual&amp;id=2508,true
2855,Radeon HD 7600G + 7550M Dual,NA,423,247,NA,NA,NA,Apr 2014,Unknown,NA,NA,NA,NA,1347,3,Radeon+HD+7600G+%2B+7550M+Dual&amp;id=2855,true
2746,Radeon HD 7600G + 8500M/8700M Dual,NA,470,257,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1297,4,Radeon+HD+7600G+%2B+8500M%2F8700M+Dual&amp;id=2746,true
3321,Radeon HD 7600G + HD 7400M Dual,NA,329,147,NA,NA,NA,Oct 2015,Unknown,NA,NA,NA,NA,1427,1,Radeon+HD+7600G+%2B+HD+7400M+Dual&amp;id=3321,true
3230,Radeon HD 7600G + HD 7500M/7600M Dual,NA,555,244,NA,NA,NA,Jun 2015,Unknown,NA,NA,NA,NA,1203,6,Radeon+HD+7600G+%2B+HD+7500M%2F7600M+Dual&amp;id=3230,true
3098,Radeon HD 7600G + HD 7550M Dual,NA,509,202,NA,NA,NA,Dec 2014,Unknown,NA,NA,NA,NA,1255,2,Radeon+HD+7600G+%2B+HD+7550M+Dual&amp;id=3098,true
3180,Radeon HD 7600G + HD 8670M Dual,NA,544,241,NA,NA,NA,Apr 2015,Unknown,NA,NA,NA,NA,1218,2,Radeon+HD+7600G+%2B+HD+8670M+Dual&amp;id=3180,true
2780,Radeon HD 7600G + HD Dual,NA,435,158,NA,NA,NA,Jan 2014,Unknown,NA,NA,NA,NA,1336,9,Radeon+HD+7600G+%2B+HD+Dual&amp;id=2780,true
3629,Radeon HD 7600G N HD 7600G + HD ON HD Dual,NA,526,244,NA,NA,NA,Dec 2016,Unknown,NA,NA,NA,NA,1236,1,Radeon+HD+7600G+N+HD+7600G+%2B+HD+ON+HD+Dual&amp;id=3629,true
2234,Radeon HD 7600M + 7600M Dual,NA,773,317,NA,NA,NA,Oct 2012,Unknown,NA,NA,NA,NA,959,9,Radeon+HD+7600M+%2B+7600M+Dual&amp;id=2234,true
308,Radeon HD 7610M,NA,632,479,NA,20,31.61,Jul 2012,Mobile,PCIe 2.1 x16,1024 MB,450 MHz,450 MHz,1105,79,Radeon+HD+7610M&amp;id=308,true
309,Radeon HD 7620G,NA,361,114,NA,NA,NA,Jul 2012,Unknown,NA,NA,NA,NA,1397,78,Radeon+HD+7620G&amp;id=309,true
2728,Radeon HD 7620G + 8600M Dual,NA,509,294,NA,NA,NA,Nov 2013,Unknown,NA,NA,NA,NA,1256,13,Radeon+HD+7620G+%2B+8600M+Dual&amp;id=2728,true
2765,Radeon HD 7620G + 8670M Dual,NA,577,322,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1175,3,Radeon+HD+7620G+%2B+8670M+Dual&amp;id=2765,true
3066,Radeon HD 7620G + HD 8600M Dual,NA,443,267,NA,NA,NA,Dec 2014,Unknown,NA,NA,NA,NA,1332,18,Radeon+HD+7620G+%2B+HD+8600M+Dual&amp;id=3066,true
2824,Radeon HD 7620G + HD 8670M Dual,NA,507,267,NA,NA,NA,Feb 2014,Unknown,NA,NA,NA,NA,1258,24,Radeon+HD+7620G+%2B+HD+8670M+Dual&amp;id=2824,true
2751,Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,NA,452,238,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1320,1,Radeon+HD+7620G+N+HD+7620G+%2B+HD+8600M+N+HD+8600M+D&amp;id=2751,true
310,Radeon HD 7640G,NA,443,124,NA,NA,NA,Jul 2012,Unknown,NA,NA,NA,NA,1330,1106,Radeon+HD+7640G&amp;id=310,true
2301,Radeon HD 7640G + 6400M Dual,NA,527,279,NA,NA,NA,Dec 2012,Unknown,NA,NA,NA,NA,1235,7,Radeon+HD+7640G+%2B+6400M+Dual&amp;id=2301,true
2442,Radeon HD 7640G + 7400M Dual,NA,637,286,NA,NA,NA,Mar 2013,Unknown,NA,NA,NA,NA,1097,5,Radeon+HD+7640G+%2B+7400M+Dual&amp;id=2442,true
2913,Radeon HD 7640G + 7450M Dual,NA,754,353,NA,NA,NA,Jul 2014,Unknown,NA,NA,NA,NA,983,1,Radeon+HD+7640G+%2B+7450M+Dual&amp;id=2913,true
311,Radeon HD 7640G + 7470M Dual,NA,595,301,NA,NA,NA,Jun 2012,Unknown,NA,NA,NA,NA,1152,53,Radeon+HD+7640G+%2B+7470M+Dual&amp;id=311,true
2566,Radeon HD 7640G + 7500/7600 Dual,NA,627,293,NA,NA,NA,Jul 2013,Unknown,NA,NA,NA,NA,1113,2,Radeon+HD+7640G+%2B+7500%2F7600+Dual&amp;id=2566,true
2211,Radeon HD 7640G + 7500M/7600M Dual,NA,776,317,NA,NA,NA,Oct 2012,Unknown,NA,NA,NA,NA,956,1,Radeon+HD+7640G+%2B+7500M%2F7600M+Dual&amp;id=2211,true
312,Radeon HD 7640G + 7600M Dual,NA,706,294,NA,NA,NA,Jul 2012,Unknown,NA,NA,NA,NA,1032,64,Radeon+HD+7640G+%2B+7600M+Dual&amp;id=312,true
2677,Radeon HD 7640G + 7610M Dual,NA,510,309,NA,NA,NA,Oct 2013,Unknown,NA,NA,NA,NA,1254,7,Radeon+HD+7640G+%2B+7610M+Dual&amp;id=2677,true
2786,Radeon HD 7640G + 7650M Dual,NA,747,188,NA,NA,NA,Jan 2014,Unknown,NA,NA,NA,NA,989,1,Radeon+HD+7640G+%2B+7650M+Dual&amp;id=2786,true
313,Radeon HD 7640G + 7670M Dual,NA,645,294,NA,NA,NA,Jun 2012,Unknown,NA,NA,NA,NA,1090,113,Radeon+HD+7640G+%2B+7670M+Dual&amp;id=313,true
2757,Radeon HD 7640G + 7690M Dual,NA,946,325,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,837,1,Radeon+HD+7640G+%2B+7690M+Dual&amp;id=2757,true
2730,Radeon HD 7640G + 7700M Dual,NA,691,324,NA,NA,NA,Nov 2013,Unknown,NA,NA,NA,NA,1044,2,Radeon+HD+7640G+%2B+7700M+Dual&amp;id=2730,true
2809,Radeon HD 7640G + 8500M Dual,NA,586,308,NA,NA,NA,Feb 2014,Unknown,NA,NA,NA,NA,1165,11,Radeon+HD+7640G+%2B+8500M+Dual&amp;id=2809,true
2763,Radeon HD 7640G + 8570M Dual,NA,558,274,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1201,13,Radeon+HD+7640G+%2B+8570M+Dual&amp;id=2763,true
2669,Radeon HD 7640G + 8600/8700M Dual,NA,689,308,NA,NA,NA,Oct 2013,Unknown,NA,NA,NA,NA,1047,10,Radeon+HD+7640G+%2B+8600%2F8700M+Dual&amp;id=2669,true
3873,Radeon HD 7640G + 8600M Dual,NA,250,217,NA,NA,NA,Dec 2017,Unknown,NA,NA,NA,NA,1497,1,Radeon+HD+7640G+%2B+8600M+Dual&amp;id=3873,true
2797,Radeon HD 7640G + 8670M Dual,NA,558,316,NA,NA,NA,Jan 2014,Unknown,NA,NA,NA,NA,1200,2,Radeon+HD+7640G+%2B+8670M+Dual&amp;id=2797,true
2733,Radeon HD 7640G + 8750M Dual,NA,655,305,NA,NA,NA,Nov 2013,Unknown,NA,NA,NA,NA,1076,4,Radeon+HD+7640G+%2B+8750M+Dual&amp;id=2733,true
2978,Radeon HD 7640G + HD 7400M Dual,NA,621,297,NA,NA,NA,Oct 2014,Unknown,NA,NA,NA,NA,1122,17,Radeon+HD+7640G+%2B+HD+7400M+Dual&amp;id=2978,true
3329,Radeon HD 7640G + HD 7500/7600 Dual,NA,424,301,NA,NA,NA,Oct 2015,Unknown,NA,NA,NA,NA,1346,1,Radeon+HD+7640G+%2B+HD+7500%2F7600+Dual&amp;id=3329,true
2990,Radeon HD 7640G + HD 7600M Dual,NA,704,277,NA,NA,NA,Oct 2014,Unknown,NA,NA,NA,NA,1035,59,Radeon+HD+7640G+%2B+HD+7600M+Dual&amp;id=2990,true
2770,Radeon HD 7640G + HD 7600M N HD 7600M Dual,NA,407,198,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1358,1,Radeon+HD+7640G+%2B+HD+7600M+N+HD+7600M+Dual&amp;id=2770,true
2925,Radeon HD 7640G + HD 7670M Dual,NA,519,97,NA,NA,NA,Aug 2014,Unknown,NA,NA,NA,NA,1245,20,Radeon+HD+7640G+%2B+HD+7670M+Dual&amp;id=2925,true
3372,Radeon HD 7640G + HD 7700M Dual,NA,589,277,NA,NA,NA,Nov 2015,Unknown,NA,NA,NA,NA,1156,3,Radeon+HD+7640G+%2B+HD+7700M+Dual&amp;id=3372,true
3211,Radeon HD 7640G + HD 7700M N HD 7700M Dual,NA,631,272,NA,NA,NA,May 2015,Unknown,NA,NA,NA,NA,1106,1,Radeon+HD+7640G+%2B+HD+7700M+N+HD+7700M+Dual&amp;id=3211,true
2907,Radeon HD 7640G + HD 8500M Dual,NA,607,305,NA,NA,NA,Jul 2014,Unknown,NA,NA,NA,NA,1139,9,Radeon+HD+7640G+%2B+HD+8500M+Dual&amp;id=2907,true
2718,Radeon HD 7640G + HD 8500M N HD 8500M Dual,NA,666,311,NA,NA,NA,Nov 2013,Unknown,NA,NA,NA,NA,1067,2,Radeon+HD+7640G+%2B+HD+8500M+N+HD+8500M+Dual&amp;id=2718,true
2889,Radeon HD 7640G + HD 8570M Dual,NA,475,196,NA,NA,NA,Jun 2014,Unknown,NA,NA,NA,NA,1293,5,Radeon+HD+7640G+%2B+HD+8570M+Dual&amp;id=2889,true
3131,Radeon HD 7640G + HD 8600/8700M Dual,NA,587,298,NA,NA,NA,Feb 2015,Unknown,NA,NA,NA,NA,1164,10,Radeon+HD+7640G+%2B+HD+8600%2F8700M+Dual&amp;id=3131,true
3280,Radeon HD 7640G + HD 8670M Dual,NA,677,249,NA,NA,NA,Aug 2015,Unknown,NA,NA,NA,NA,1059,1,Radeon+HD+7640G+%2B+HD+8670M+Dual&amp;id=3280,true
3288,Radeon HD 7640G + HD 8750M Dual,NA,997,293,NA,NA,NA,Aug 2015,Unknown,NA,NA,NA,NA,802,7,Radeon+HD+7640G+%2B+HD+8750M+Dual&amp;id=3288,true
3246,Radeon HD 7640G + R5 M200 Dual,NA,559,249,NA,NA,NA,Jul 2015,Unknown,NA,NA,NA,NA,1198,10,Radeon+HD+7640G+%2B+R5+M200+Dual&amp;id=3246,true
3450,Radeon HD 7640G + R5 M230 Dual,NA,239,75,NA,NA,NA,Mar 2016,Unknown,NA,NA,NA,NA,Insufficient data,1,Radeon+HD+7640G+%2B+R5+M230+Dual&amp;id=3450,false
2700,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,NA,824,262,NA,NA,NA,Oct 2013,Unknown,NA,NA,NA,NA,918,8,Radeon+HD+7640G+N+HD+7640G+%2B+HD+7600M+N+HD+7600M+D&amp;id=2700,true
2735,Radeon HD 7640G N HD 7640G + HD 7670M Dual,NA,680,305,NA,NA,NA,Nov 2013,Unknown,NA,NA,NA,NA,1054,6,Radeon+HD+7640G+N+HD+7640G+%2B+HD+7670M+Dual&amp;id=2735,true
2762,Radeon HD 7640G N HD 7640G + HD 8570M Dual,NA,423,287,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,1349,1,Radeon+HD+7640G+N+HD+7640G+%2B+HD+8570M+Dual&amp;id=2762,true
332,Radeon HD 7650A,$262.00*,564,325,2.15,NA,NA,Aug 2012,Unknown,NA,NA,NA,NA,1191,67,Radeon+HD+7650A&amp;id=332,true
314,Radeon HD 7650M,NA,454,79,NA,20,22.69,Jul 2012,Mobile,PCIe 2.1 x16,1024 MB,"450,550 MHz","450,550 MHz",1315,197,Radeon+HD+7650M&amp;id=314,true
315,Radeon HD 7660D,NA,516,187,NA,100,5.16,Jun 2012,Desktop,UNB/MC,NA,"760,800 MHz",NA,1249,1572,Radeon+HD+7660D&amp;id=315,true
2448,Radeon HD 7660D + 6570 Dual,NA,"1,100",551,NA,NA,NA,Mar 2013,Unknown,NA,NA,NA,NA,748,2,Radeon+HD+7660D+%2B+6570+Dual&amp;id=2448,true
2249,Radeon HD 7660D + 6670 Dual,NA,"1,238",524,NA,NA,NA,Nov 2012,Unknown,NA,NA,NA,NA,696,18,Radeon+HD+7660D+%2B+6670+Dual&amp;id=2249,true
2266,Radeon HD 7660D + 7470 Dual,NA,466,491,NA,NA,NA,Nov 2012,Unknown,NA,NA,NA,NA,1302,3,Radeon+HD+7660D+%2B+7470+Dual&amp;id=2266,true
2769,Radeon HD 7660D + 7500 Dual,NA,"1,121",500,NA,NA,NA,Dec 2013,Unknown,NA,NA,NA,NA,739,1,Radeon+HD+7660D+%2B+7500+Dual&amp;id=2769,true
2450,Radeon HD 7660D + 7540D Dual,NA,"1,204",547,NA,NA,NA,Mar 2013,Unknown,NA,NA,NA,NA,709,1,Radeon+HD+7660D+%2B+7540D+Dual&amp;id=2450,true
2255,Radeon HD 7660D + 7670 Dual,NA,"1,062",494,NA,NA,NA,Nov 2012,Unknown,NA,NA,NA,NA,764,4,Radeon+HD+7660D+%2B+7670+Dual&amp;id=2255,true
3091,Radeon HD 7660D + HD 6670 Dual,NA,"1,485",515,NA,NA,NA,Dec 2014,Unknown,NA,NA,NA,NA,632,6,Radeon+HD+7660D+%2B+HD+6670+Dual&amp;id=3091,true
